序号,产品名称,型号,流量Q(m3/h),扬程H(m),转数,功率N(KW),数量,税率,单价,总价,品牌,备注
1,潜污泵,65WQC40-23-5.5,40,23,,5.5,72,0.13,1934,139248,上海连成,"含耦合装置，2米标配导杆、吊链，8米四芯电缆，铸铁材质。带搅匀功能,电泳漆。2025.10.9,预付当批货款金额30%，供方提供等额预付款保函（现金转账），货到现场一个月付至结算金额97%（先抵扣预付款后再支付当批货款，现金转账），质保金3%的结算金额，质保2年。"
,耦合,DN65,,,,,,,,,上海连成,
,控制柜,LEC-2ACS-5.5/B-BA,,,,,36,,868,31248,上海连成,"一控二，四芯,主要器件国产，含两个浮球，（信号线8米）低液位停泵，高液位启一台泵，超高液位启2台泵并报警。BA系统对其运行状态和故障进行监视；2025.10.9,预付当批货款金额30%，供方提供等额预付款保函（现金转账），货到现场一个月付至结算金额97%（先抵扣预付款后再支付当批货款，现金转账），质保金3%的结算金额，质保2年。"
2,潜污泵,50WQC25-18-3,25,18,,3,4,0.13,1301,5204,上海连成,"含耦合装置，2米标配导杆、吊链，8米四芯电缆，铸铁材质。带搅匀功能,电泳漆。2025.10.9,预付当批货款金额30%，供方提供等额预付款保函（现金转账），货到现场一个月付至结算金额97%（先抵扣预付款后再支付当批货款，现金转账），质保金3%的结算金额，质保2年。"
,耦合,DN50,,,,,,,,,上海连成,
,控制柜,LEC-2ACS-3/B-BA,,,,,2,,868,1736,上海连成,"一控二，四芯,主要器件国产，含两个浮球，（信号线8米）低液位停泵，高液位启一台泵，超高液位启2台泵并报警。BA系统对其运行状态和故障进行监视；2025.10.9,预付当批货款金额30%，供方提供等额预付款保函（现金转账），货到现场一个月付至结算金额97%（先抵扣预付款后再支付当批货款，现金转账），质保金3%的结算金额，质保2年。"
3,污水泵,50WQC10-25-3,10,25,,3,10,0.13,1301,13010,上海连成,"含耦合装置，1.5米标配导杆、吊链，8米四芯电缆，铸铁材质。带搅匀功能,电泳漆。2025.10.9,预付当批货款金额30%，供方提供等额预付款保函（现金转账），货到现场一个月付至结算金额97%（先抵扣预付款后再支付当批货款，现金转账），质保金3%的结算金额，质保2年。"
,耦合,DN50,,,,,,,,,上海连成,
,控制柜,LCC-2ACS-3/B,,,,,5,,868,4340,上海连成,"一控二，四芯,主要器件国产，含两个浮球，（信号线8米）低液位停泵，高液位启一台泵，超高液位启2台泵并报警。BA系统对其运行状态和故障进行监视；2025.10.9,预付当批货款金额30%，供方提供等额预付款保函（现金转账），货到现场一个月付至结算金额97%（先抵扣预付款后再支付当批货款，现金转账），质保金3%的结算金额，质保2年。"
4,污水泵,50WQC40-15-3,40,15,,3,2,0.13,1301,2602,上海连成,"含耦合装置，2米标配导杆、吊链，8米四芯电缆，铸铁材质。带搅匀功能,电泳漆。2025.10.9,预付当批货款金额30%，供方提供等额预付款保函（现金转账），货到现场一个月付至结算金额97%（先抵扣预付款后再支付当批货款，现金转账），质保金3%的结算金额，质保2年。"
,耦合,DN50,,,,,,,,,上海连成,
,控制柜,LCC-2ACS-3/B-BA,,,,,1,,868,868,上海连成,"一控二，四芯,主要器件国产，含两个浮球，（信号线8米）低液位停泵，高液位启一台泵，超高液位启2台泵并报警。BA系统对其运行状态和故障进行监视；2025.10.9,预付当批货款金额30%，供方提供等额预付款保函（现金转账），货到现场一个月付至结算金额97%（先抵扣预付款后再支付当批货款，现金转账），质保金3%的结算金额，质保2年。"
5,潜污泵,50WQC40-15-3,40,15,,3,6,0.13,1301,7806,上海连成,"含耦合装置，2米标配导杆、吊链，8米四芯电缆，铸铁材质。带搅匀功能,电泳漆。2025.10.9,预付当批货款金额30%，供方提供等额预付款保函（现金转账），货到现场一个月付至结算金额97%（先抵扣预付款后再支付当批货款，现金转账），质保金3%的结算金额，质保2年。"
,耦合,DN50,,,,,,,,,上海连成,
,控制柜,LCC-2ACS-3/B-BA,,,,,3,,868,2604,上海连成,"一控二，四芯,主要器件国产，含两个浮球，（信号线8米）低液位停泵，高液位启一台泵，超高液位启2台泵并报警。BA系统对其运行状态和故障进行监视；2025.10.9,预付当批货款金额30%，供方提供等额预付款保函（现金转账），货到现场一个月付至结算金额97%（先抵扣预付款后再支付当批货款，现金转账），质保金3%的结算金额，质保2年。"
6,潜污泵,50WQC40-15-3,40,15,,3,4,0.13,1301,5204,上海连成,"含耦合装置，2米标配导杆、吊链，8米四芯电缆，铸铁材质。带搅匀功能,电泳漆。2025.10.9,预付当批货款金额30%，供方提供等额预付款保函（现金转账），货到现场一个月付至结算金额97%（先抵扣预付款后再支付当批货款，现金转账），质保金3%的结算金额，质保2年。"
,耦合,DN50,,,,,,,,,上海连成,
,控制柜,LCC-2ACS-3/B,,,,,2,,868,1736,上海连成,"一控二，四芯,主要器件国产，含两个浮球，（信号线8米）低液位停泵，高液位启一台泵，超高液位启2台泵并报警。BA系统对其运行状态和故障进行监视；2025.10.9,预付当批货款金额30%，供方提供等额预付款保函（现金转账），货到现场一个月付至结算金额97%（先抵扣预付款后再支付当批货款，现金转账），质保金3%的结算金额，质保2年。"
7,潜污泵,65WQC40-23-5.5,40,23,,5.5,4,0.13,1934,7736,上海连成,"含耦合装置，2米标配导杆、吊链，8米四芯电缆，铸铁材质。带搅匀功能,电泳漆。2025.10.9,预付当批货款金额30%，供方提供等额预付款保函（现金转账），货到现场一个月付至结算金额97%（先抵扣预付款后再支付当批货款，现金转账），质保金3%的结算金额，质保2年。"
,耦合,DN65,,,,,,,,,上海连成,
,控制柜,LCC-2ACS-5.5/B-BA,,,,,2,,868,1736,上海连成,"一控二，四芯,主要器件国产，含两个浮球，（信号线8米）低液位停泵，高液位启一台泵，超高液位启2台泵并报警。BA系统对其运行状态和故障进行监视；2025.10.9,预付当批货款金额30%，供方提供等额预付款保函（现金转账），货到现场一个月付至结算金额97%（先抵扣预付款后再支付当批货款，现金转账），质保金3%的结算金额，质保2年。"
8,蓄水池排空泵,50WQC40-15-3,40,15,,3,3,0.13,1499,4497,上海连成,"含耦合装置，4米标配导杆、吊链，12米四芯电缆，铸铁材质。带搅匀功能,电泳漆。2025.10.9,预付当批货款金额30%，供方提供等额预付款保函（现金转账），货到现场一个月付至结算金额97%（先抵扣预付款后再支付当批货款，现金转账），质保金3%的结算金额，质保2年。"
,耦合,DN50,,,,,,,,,上海连成,
,控制柜,LCC-3HS-3/B-BA,,,,,1,,1802,1802,上海连成,"一控三，四芯,主要器件国产，含三个浮球，（信号线12米）低液位停泵，高液位启一台泵，较高液位启两台泵，超高液位启3台泵并报警。BA系统对其运行状态和故障进行监视；2025.10.9,预付当批货款金额30%，供方提供等额预付款保函（现金转账），货到现场一个月付至结算金额97%（先抵扣预付款后再支付当批货款，现金转账），质保金3%的结算金额，质保2年。"
9,人防潜水排污泵,50WQC15-22-2.2,15,22,,2.2,11,0.13,1153,12683,上海连成,"含硬管弯头，12米四芯电缆，铸铁材质。,电泳漆。2025.10.9,预付当批货款金额30%，供方提供等额预付款保函（现金转账），货到现场一个月付至结算金额97%（先抵扣预付款后再支付当批货款，现金转账），质保金3%的结算金额，质保2年。"
,控制柜,LCC-1S-2.2/B-BA,,,,,11,,540,5940,上海连成,"一控一，四芯,主要器件国产，含一个浮球，（信号线12米）低液位停泵，高液位启一台泵。BA系统对其运行状态和故障进行监视；2025.10.9,预付当批货款金额30%，供方提供等额预付款保函（现金转账），货到现场一个月付至结算金额97%（先抵扣预付款后再支付当批货款，现金转账），质保金3%的结算金额，质保2年。"
